kural_number,couplet,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral,dominant_score
21,ஒழுக்கத்து நீத்தார் பெருமை விழுப்பத்து வேண்டும் பனுவல் துணிவு.,0.5767795,0.56824946,0.5568241,0.5312985,0.58632535,0.5897188,0.6396869,0.57703954,0.649455,0.6046447,sanctity.virtue,0.649455
22,துறந்தார் பெருமை துணைக்கூறின் வையத்து இறந்தாரை எண்ணிக்கொண் டற்று.,0.54735583,0.6204074,0.5491804,0.60532504,0.6249862,0.60523957,0.60309225,0.5588058,0.6111406,0.6703118,sanctity.vice,0.6703118
23,இருமை வகைதெரிந்து ஈண்டுஅறம் பூண்டார் பெருமை பிறங்கிற்று உலகு.,0.4736581,0.4195723,0.4469079,0.45383897,0.47995636,0.4648949,0.4627245,0.4850513,0.5359065,0.5006835,sanctity.virtue,0.5359065
24,உரனென்னும் தோட்டியான் ஓரைந்தும் காப்பான் வரனென்னும் வைப்பிற்கோர் வித்து.,0.53000957,0.48830807,0.43630496,0.4534725,0.49890742,0.4442554,0.50596756,0.43762445,0.5407733,0.55305505,sanctity.vice,0.55305505
25,ஐந்தவித்தான் ஆற்றல் அகல்விசும்பு ளார்கோமான் இந்திரனே சாலுங் கரி.,0.3810586,0.40447608,0.3774057,0.44776773,0.420084,0.42456043,0.46586704,0.41774094,0.50149316,0.48057282,sanctity.virtue,0.50149316
26,செயற்கரிய செய்வார் பெரியர் சிறியர் செயற்கரிய செய்கலா தார்.,0.5270147,0.5425959,0.5934558,0.56405723,0.6280717,0.49557504,0.62904286,0.51935107,0.5293963,0.5484408,authority.virtue,0.62904286
27,சுவைஒளி ஊறுஓசை நாற்றமென ஐந்தின் வகைதெரிவான் கட்டே உலகு.,0.3670811,0.39059058,0.34253046,0.40949887,0.40424815,0.37650213,0.40443036,0.3762429,0.44482067,0.5089782,sanctity.vice,0.5089782
28,நிறைமொழி மாந்தர் பெருமை நிலத்து மறைமொழி காட்டி விடும்.,0.42719904,0.4348097,0.4375693,0.46013618,0.4554041,0.47931376,0.51093346,0.4749121,0.50423354,0.4877878,authority.virtue,0.51093346
29,குணமென்னும் குன்றேறி நின்றார் வெகுளி கணமேயும் காத்தல் அரிது.,0.5921457,0.56483495,0.51351565,0.4823024,0.50779575,0.48259836,0.51233095,0.5317518,0.5709219,0.57496554,care.virtue,0.5921457
30,அந்தணர் என்போர் அறவோர்மற் றெவ்வுயிர் க்கும் செந்தண்மை பூண்டொழுக லான்.,0.4072079,0.48955172,0.4248697,0.47007772,0.5184508,0.48886177,0.47569126,0.48302865,0.53140855,0.5266914,sanctity.virtue,0.53140855
31,சிறப்பு ஈனும் செல்வமும் ஈனும் அறத்தினூஉங்கு ஆக்கம் எவனோ உயிர்க்கு.,0.5427667,0.44792038,0.4477028,0.4818166,0.46585545,0.4460336,0.52846724,0.42863688,0.57342935,0.49023575,sanctity.virtue,0.57342935
32,அறத்தினூஉங்கு ஆக்கமும் இல்லை அதனை மறத்தலின் ஊங்கில்லை கேடு.,0.59562254,0.6206045,0.63312167,0.5872004,0.6309133,0.57681507,0.59031147,0.64062625,0.659629,0.66299534,sanctity.vice,0.66299534
33,ஒல்லும் வகையான் அறவினை ஓவாதே செல்லும்வாய் எல்லாஞ் செயல்.,0.5277847,0.5416805,0.57537174,0.593095,0.6079356,0.5582149,0.6202974,0.5544989,0.6111213,0.6226015,sanctity.vice,0.6226015
34,மனத்துக்கண் மாசிலன் ஆதல் அனைத்து அறன் ஆகுல நீர பிற.,0.47795734,0.43809983,0.4529116,0.48516914,0.48407948,0.46029505,0.5016563,0.4683163,0.5473571,0.56267416,sanctity.vice,0.56267416
35,அழுக்காறு அவாவெகுளி இன்னாச்சொல் நான்கும் இழுக்கா இயன்றது அறம்.,0.5567073,0.5599675,0.56258,0.5932335,0.6271732,0.57050586,0.6119511,0.5545811,0.6428346,0.67688113,sanctity.vice,0.67688113
36,அன்றறிவாம் என்னாது அறஞ்செய்க மற்றது பொன்றுங்கால் பொன்றாத் துணை.,0.51928383,0.4606189,0.43829587,0.44865742,0.47251105,0.42862588,0.45924893,0.45323288,0.54457664,0.52073663,sanctity.virtue,0.54457664
37,அறத்தாறு இதுவென வேண்டா சிவிகை பொறுத்தானோடு ஊர்ந்தான் இடை.,0.61007035,0.6134629,0.638212,0.66570395,0.66131157,0.6772582,0.6287764,0.7256451,0.67313045,0.7005175,authority.vice,0.7256451
38,வீழ்நாள் படாஅமை நன்றாற்றின் அஃதொருவன் வாழ்நாள் வழியடைக்கும் கல்.,0.53867376,0.5217454,0.50198436,0.50811774,0.5290171,0.4809736,0.5650521,0.49314198,0.603097,0.5773993,sanctity.virtue,0.603097
39,அறத்தான் வருவதே இன்பம் மற் றெல்லாம் புறத்த புகழும் இல.,0.4805373,0.43272677,0.40837243,0.46888384,0.43340605,0.45543927,0.45286086,0.45919985,0.5344413,0.5007257,sanctity.virtue,0.5344413
40,செயற்பால தோரும் அறனே ஒருவற்கு உயற்பால தோரும் பழி.,0.6040742,0.6297815,0.6873285,0.6276888,0.6870313,0.61393505,0.6628111,0.6249696,0.6030449,0.6416904,fairness.virtue,0.6873285
41,இல்வாழ்வான் என்பான் இயல்புடைய மூவர்க்கும் நல்லாற்றின் நின்ற துணை.,0.46825144,0.36501548,0.4343105,0.4137506,0.51976085,0.41658336,0.45741543,0.40168712,0.44274518,0.40076563,loyalty.virtue,0.51976085
42,துறந்தார்க்கும் துவ்வாதவர்க்கும் இறந்தார்க்கும் இல்வாழ்வான் என்பான் துணை.,0.55404526,0.5055439,0.5363241,0.5092507,0.5796029,0.5091998,0.5330778,0.47559875,0.53503466,0.5279937,loyalty.virtue,0.5796029
43,தென்புலத்தார் தெய்வம் விருந்தொக்கல் தானென்றாங்கு ஐம்புலத்தாறு ஓம்பல் தலை.,0.49351165,0.40279663,0.40145662,0.42211714,0.44074106,0.4306856,0.50816864,0.40728235,0.56279653,0.46814123,sanctity.virtue,0.56279653
44,பழியஞ்சிப் பாத்தூண் உடைத்தாயின் வாழ்க்கை வழியெஞ்சல் எஞ்ஞான்றும் இல்.,0.48350343,0.481147,0.46278673,0.47927305,0.46881035,0.4683401,0.5024201,0.44727987,0.5231273,0.52527905,sanctity.vice,0.52527905
45,அன்பும் அறனும் உடைத்தாயின் இல்வாழ்க்கை பண்பும் பயனும் அது.,0.46318856,0.27319443,0.36714768,0.24282552,0.37718892,0.2805443,0.3525636,0.26772672,0.391409,0.2796001,care.virtue,0.46318856
46,அறத்தாற்றின் இல்வாழ்க்கை ஆற்றின் புறத்தாற்றில் போஒய்ப் பெறுவ தெவன்?,0.46427456,0.40677446,0.437752,0.42100334,0.45488772,0.43165565,0.47242212,0.44733799,0.5329097,0.4875225,sanctity.virtue,0.5329097
47,இயல்பினான் இல்வாழ்க்கை வாழ்பவன் என்பான் முயல்வாருள் எல்லாம் தலை.,0.34575105,0.34476817,0.37729883,0.41393793,0.4000538,0.392336,0.38939694,0.3830228,0.38647464,0.4146863,sanctity.vice,0.4146863
48,ஆற்றின் ஒழுக் கி அறனிழுக்கா இல்வாழ் க்கை நோற்பாரின் நோன்மை உடைத்து.,0.38518557,0.38726464,0.3802609,0.4058705,0.4128926,0.39216778,0.43885392,0.4267593,0.4733048,0.46951708,sanctity.virtue,0.4733048
49,அறன் எனப் பட்டதே இல்வாழ்க்கை அஃதும் பிறன்பழிப்ப தில்லாயின் நன்று.,0.50751644,0.4476189,0.46558204,0.43385547,0.46038008,0.40024334,0.46807715,0.4127076,0.52070624,0.49986106,sanctity.virtue,0.52070624
50,வையத்துள் வாழ்வாங்கு வாழ்பவன் வான்உநற்யும் தெய்வத்துள் வைக்கப் படும்.,0.37255782,0.3210752,0.32409647,0.32056582,0.35603303,0.33009556,0.39160997,0.33230615,0.44769213,0.33287796,sanctity.virtue,0.44769213
51,மனைக்தக்க மாண்புடையள் ஆகித்தற் கொண்டான் வளத்தக்காள் வாழ்க்கைத் துணை.,0.46796304,0.38509405,0.41688114,0.41943267,0.44487333,0.3660395,0.50683284,0.34515333,0.47237554,0.44215104,authority.virtue,0.50683284
52,மனைமாட்சி இல்லாள்கண் இல்லாயின் வாழ்க்கை எனைமாட்சித் தாயினும் இல்.,0.5028325,0.45907357,0.4416166,0.44366252,0.46504346,0.43913946,0.47136623,0.4569037,0.4972299,0.46946454,care.virtue,0.5028325
53,இல்லதென் இல்லவள் மாண்பானால் உள்ளதென் இல்லவள் மாணாக் கடை?,0.2674252,0.2696665,0.23468788,0.24402876,0.2703025,0.21243955,0.2630291,0.2517946,0.28151256,0.31408888,sanctity.vice,0.31408888
54,பெண்ணின் பெருந்தக்க யாவுள கற்பென்னும் திண்மைஉண் டாகப் பெறின்.,0.531854,0.44834748,0.45211503,0.39330816,0.4754466,0.36766624,0.51261204,0.37985554,0.580534,0.48466557,sanctity.virtue,0.580534
55,தெய்வம் தொழாஅள் கொழுநன் தொழுதெழுவாள் பெய்யெனப் பெய்யும் மழை.,0.3100262,0.22183,0.19217405,0.15472503,0.20980743,0.17161152,0.29613927,0.19309333,0.38604555,0.26670328,sanctity.virtue,0.38604555
56,தற்காத்துத் தற்கொண்டாற் பேணித் தகைசான்ற சொற்காத்துச் சோர்விலாள் பெண்.,0.64002943,0.4552979,0.5022086,0.3933837,0.46895915,0.4163687,0.5291446,0.40098104,0.59337527,0.46112028,care.virtue,0.64002943
57,சிறைகாக்கும் காப்பெவன் செய்யும் மகளிர் நிறைகாக்கும் காப்பே தலை.,0.51441973,0.3065793,0.35637543,0.2963059,0.35084578,0.28705466,0.4095104,0.25658464,0.3783338,0.28943545,care.virtue,0.51441973
58,பெற்றாற் பெறின்பெறுவர் பெண்டிர் பெருஞ்சிறப்புப் புத்தேளிர் வாழும் உலகு.,0.3364657,0.20649846,0.2109119,0.24681747,0.2766174,0.22388001,0.2955919,0.20985173,0.3374549,0.24439523,sanctity.virtue,0.3374549
59,புகழ்புரிந்த இல்லிலோர்க்கு இல்லை இகழ்வார்முன் ஏறுபோல் பீடு நடை.,0.41527164,0.43687585,0.46044737,0.46677634,0.45067796,0.4899304,0.4921559,0.53234327,0.47940674,0.47188786,authority.vice,0.53234327
60,மங்கலம் என்ப மனைமாட்சி மற்று அதன் நன்கலம் நன்மக்கட் பேறு.,0.42880782,0.27089578,0.30596405,0.32445854,0.3699048,0.29159936,0.3629522,0.2557778,0.4055953,0.34210593,care.virtue,0.42880782
61,பெறுமவற்றுள் யாமறிவது இல்லை அறிவறிந்த மக்கட்பேறு அல்ல பிற.,0.48744345,0.44666493,0.4754351,0.45690203,0.5020963,0.42002928,0.4551686,0.44896552,0.4928516,0.4519965,loyalty.virtue,0.5020963
62,எழுபிறப்பும் தீயவை தீண்டா பழிபிறங்காப் பண்புடை மக்கட் பெறின்.,0.55267,0.56018484,0.5195312,0.47456235,0.55481946,0.51278317,0.5109955,0.48891187,0.56271994,0.5627207,sanctity.vice,0.5627207
63,தம்பொருள் என்பதம் மக்கள் அவர்பொருள் தம்தம் வினையான் வரும்.,0.5729477,0.64350563,0.6094567,0.63258314,0.72216713,0.5998264,0.64991486,0.5853494,0.63084453,0.6844298,loyalty.virtue,0.72216713
64,அமிழ்தினும் ஆற்ற இனிதேதம் மக்கள் சிறுகை அளாவிய கூழ்.,0.34605607,0.33498663,0.28518024,0.31740856,0.33935952,0.30039692,0.32744354,0.3311738,0.40787375,0.44762254,sanctity.vice,0.44762254
65,மக்கள்மெய் தீண்டல் உடற்கின்பம் மற்று அவர் சொற்கேட்டல் இன்பம் செவிக்கு.,0.41660425,0.4626825,0.40529183,0.4485418,0.47648966,0.41592166,0.41030654,0.40022054,0.4615622,0.5132011,sanctity.vice,0.5132011
66,குழல் இனிது யாழ்இனிது என்பதம் மக்கள் மழலைச்சொல் கேளா தவர்.,0.3917697,0.42529163,0.4142971,0.42873466,0.48342332,0.44424638,0.41588056,0.46957746,0.4252862,0.4612442,loyalty.virtue,0.48342332
67,தந்தை மகற்காற்று நன்றி அவையத்து முந்தி இருப்பச் செயல்.,0.5999751,0.41122934,0.49305728,0.38597465,0.4831026,0.38070333,0.5786275,0.35569996,0.5808924,0.43822357,care.virtue,0.5999751
68,தம்மின்தம் மக்கள் அறிவுடைமை மாநிலத்து மன்னுயிர்க் கெல்லாம் இனிது.,0.53559756,0.45529598,0.49428463,0.44733107,0.5442777,0.44492626,0.56644326,0.44520152,0.56620723,0.46916753,authority.virtue,0.56644326
69,ஈன்ற பொழுதின் பெரிதுவக்கும் தன்மகனைச் சான்றோன் எனக்கேட்ட தாய்.,0.55626124,0.32414964,0.42351237,0.30186507,0.38481236,0.2690776,0.47917932,0.2753524,0.50028026,0.34021857,care.virtue,0.55626124
70,மகன்தந்தைக்கு ஆற்றும் உதவி இவன்தந்தை என்நோற்றான் கொல் எனும் சொல்.,0.5554601,0.45450446,0.44442472,0.34597594,0.42757222,0.3795902,0.48203567,0.3189882,0.5169789,0.41731125,care.virtue,0.5554601
71,அன்பிற்கும் உண்டோ அடைக்குந்தாழ் ஆர்வலர் புன்கணீர் பூசல் தரும்.,0.49022505,0.46806356,0.4916807,0.49721175,0.5723495,0.5058543,0.47921014,0.53704774,0.49600187,0.54013324,loyalty.virtue,0.5723495
72,அன்பிலார் எல்லாம் தமக்குரியர் அன்புடையார் என்பும் உரியர் பிறர்க்கு.,0.4974375,0.3450794,0.39944065,0.33586338,0.44773072,0.38851848,0.45935157,0.37034696,0.47542053,0.35327497,care.virtue,0.4974375
73,அன்போடு இயைந்த வழக்கென்ப ஆருயிர்க்கு என்போடு இயைந்த தொடர்பு.,0.4681237,0.39760217,0.48223013,0.42873016,0.49936238,0.4190979,0.46067974,0.4488437,0.43590015,0.42681706,loyalty.virtue,0.49936238
74,அன்பு ஈனும் ஆர்வம் உடைமை அதுஈனும் நண்பு என்னும் நாடாச் சிறப்பு.,0.5212494,0.38781613,0.39356297,0.39190188,0.47917217,0.38688692,0.4826248,0.39615324,0.5116579,0.4210422,care.virtue,0.5212494
75,அன்புற்று அமர்ந்த வழக்கென்ப வையகத்து இன்புற்றார் எய்தும் சிறப்பு.,0.5187309,0.47349134,0.57080084,0.5591524,0.5143078,0.51486737,0.57432526,0.5612941,0.5731072,0.54861933,authority.virtue,0.57432526
76,அறத்திற்கே அன்புசார் பென்ப அறியார் மறத்திற்கும் அஃதே துணை.,0.44426435,0.2698739,0.3008081,0.2822186,0.34673554,0.27287766,0.37701008,0.25051394,0.40534145,0.31178567,care.virtue,0.44426435
77,என்பி லதனை வெயில்போலக் காயுமே அன்பி லதனை அறம்.,0.32693455,0.25144657,0.2486769,0.2521393,0.2596045,0.2348145,0.30513534,0.24507345,0.39263266,0.30438128,sanctity.virtue,0.39263266
78,அன்பகத் தில்லா உயிர்வாழ்க்கை வன்பாற்கண் வற்றல் மரந்தளிர்த் தற்று.,0.45128843,0.46728876,0.38857386,0.43453065,0.43224165,0.43962628,0.43576965,0.43044582,0.49652806,0.530808,sanctity.vice,0.530808
79,புறத்துறுப் பெல்லாம் எவன்செய்பு ம் யாக்கை அகத்துறுப்பு அன்பி லவர்க்கு.,0.46139583,0.45187116,0.45833254,0.51360303,0.53502315,0.5071585,0.4976358,0.50841624,0.5040648,0.54718035,sanctity.vice,0.54718035
80,அன்பின் வழியது உயிர்நிலை அஃதிலார்க்கு என்புதோல் போர்த்த உடம்பு.,0.49552047,0.36179855,0.33851212,0.35763577,0.4014516,0.38375446,0.41115445,0.37806407,0.5051768,0.4386636,sanctity.virtue,0.5051768
81,இருந்தோம்பி இல்வாழ்வ தெல்லாம் விருந்தோம்பி வேளாண்மை செய்தற் பொருட்டு.,0.38145196,0.3185904,0.30567262,0.34280702,0.4013852,0.31386116,0.3678872,0.33082348,0.39694244,0.37967914,loyalty.virtue,0.4013852
82,விருந்து புறத்ததாத் தானுண்டல் சாவா மருந்தெனினும் வேண் டற்பாற் றன்று.,0.40532246,0.42221615,0.37340233,0.38558722,0.46414682,0.36887956,0.45082715,0.39120325,0.47195405,0.48219985,sanctity.vice,0.48219985
83,வருவிருந்து வைகலும் ஓம்புவான் வாழ்க்கை பருவந்து பாழ்படுதல் இன்று.,0.3237186,0.39754438,0.33465698,0.38501707,0.38506836,0.3842056,0.35704863,0.36808613,0.40356684,0.46212742,sanctity.vice,0.46212742
84,அகனமர்ந்து செய்யாள் உறையும் முகனமர்ந்து நல்விருந்து ஓம்புவான் இல்.,0.35993388,0.29686427,0.30457243,0.3392571,0.34645545,0.27918997,0.40142673,0.2802018,0.40834928,0.3693506,sanctity.virtue,0.40834928
85,வித்தும் இடல்வேண்டும் கொல்லோ விருந்தோம்பி மிச்சில் மிசைவான் புலம்.,0.4641857,0.5470927,0.4663385,0.4962872,0.56772256,0.5159751,0.50603586,0.5066312,0.54782164,0.5972019,sanctity.vice,0.5972019
86,செல்விருந்து ஓம்பி வருவிருந்து பார்த்திருப்பான் நல்வருந்து வானத் தவர்க்கு.,0.42949536,0.40917113,0.42111483,0.46139282,0.42695737,0.4283401,0.46534976,0.43072197,0.46775356,0.48131248,sanctity.vice,0.48131248
87,இனைத்துணைத் தென்பதொன் றில்லை விருந்தின் துணைத்துணை வேள்விப் பயன்.,0.61429465,0.5999584,0.6304319,0.62252265,0.68474,0.61190933,0.6015829,0.6419327,0.6081878,0.63694537,loyalty.virtue,0.68474
88,பரிந்தோம்பிப் பற்றற்றேம் என்பர் விருந்தோம்பி வேள்வி தலைப்படா தார்.,0.5600685,0.55916566,0.5648999,0.5354261,0.6215958,0.5722038,0.64412045,0.59171116,0.6479817,0.5966148,sanctity.virtue,0.6479817
89,உடைமையுள் இன்மை விருந்தோம்பல் ஓம்பா மடமை மடவார்கண் உண்டு.,0.34429646,0.31431502,0.2790227,0.38552305,0.34685305,0.35445884,0.33669809,0.36001405,0.39446065,0.4250102,sanctity.vice,0.4250102
90,மோப்பக் குழையும் அனிச்சம் முகந்திரிந்து நோக்கக் குநழ்யும் விருந்து.,0.27616188,0.30720723,0.2643469,0.3529543,0.37112436,0.2967201,0.32096097,0.31079733,0.34193736,0.4127148,sanctity.vice,0.4127148
91,இன்சொலால் ஈரம் அளைஇப் படிறுஇலவாம் செம்பொருள் கண்டார்வாய்ச் சொல்.,0.44989595,0.4489837,0.4247715,0.46060145,0.4528144,0.4033852,0.46435478,0.4396101,0.5132292,0.60007006,sanctity.vice,0.60007006
92,அகன்அமர்ந்து ஈதலின் நன்றே முகனமர்ந்து இன்சொலன் ஆகப் பெறின்.,0.50378805,0.47761047,0.5280436,0.5463494,0.5832767,0.49240017,0.5801387,0.5063227,0.54976904,0.55586,loyalty.virtue,0.5832767
93,முகத்தான் அமர்ந் துஇனிது நோக்கி அகத்தானாம் இன்சொ லினதே அறம்.,0.44419706,0.4783314,0.46991846,0.48765028,0.48844784,0.48052678,0.53561044,0.4821232,0.56902516,0.53451353,sanctity.virtue,0.56902516
94,துன்புறூஉம் துவ்வாமை இல்லாகும் யார்மாட்டும் இன்புறூஉம் இன்சொ லவர்க்கு.,0.4569008,0.4718015,0.43803728,0.44009155,0.49922666,0.4707854,0.44796702,0.5145985,0.52607137,0.5000576,sanctity.virtue,0.52607137
95,பணிவுடையன் இன்சொலன் ஆதல் ஒருவற்கு அணியல்ல மற்றுப் பிற.,0.34975386,0.31575915,0.3300553,0.36305812,0.34420195,0.36235124,0.34720597,0.40893868,0.37091687,0.37361556,authority.vice,0.40893868
96,அல்லவை தேய அறம்பெருகும் நல்லவை நாடி இனிய சொலின்.,0.54073316,0.41602206,0.42482832,0.4383724,0.41916364,0.39432183,0.4422489,0.42527685,0.5627751,0.488212,sanctity.virtue,0.5627751
97,நயன் ஈன்று நன்றி பயக்கும் பயன்ஈன்று பண்பின் தலைப்பிரியாச் சொல்.,0.67873794,0.47822416,0.5454928,0.43854842,0.5395482,0.43943805,0.6117627,0.40432602,0.6428797,0.49298126,care.virtue,0.67873794
98,சிறுமையுவு நீங்கிய இன்சொல் மறுமையும் இம்மையும் இன்பம் தரும்.,0.56350833,0.37026817,0.43527934,0.40397733,0.41032186,0.3700007,0.4272915,0.3853343,0.5452145,0.4353572,care.virtue,0.56350833
99,இன்சொல் இனிதீன்றல் காண்பான் எவன்கொலோ வன்சொல் வழங்கு வது?,0.38644272,0.37361678,0.4042651,0.41891184,0.4155593,0.41086632,0.4235547,0.43754503,0.46226203,0.44407874,sanctity.virtue,0.46226203
100,இனிய உளவாக இன்னாத கூறல் கனிஇருப்பக் காய்கவர்ந் தற்று.,0.5263004,0.51232594,0.44861156,0.5023904,0.5027912,0.45963258,0.47977355,0.48514086,0.54834735,0.5931316,sanctity.vice,0.5931316
101,செய்யாமல் செய்த உதவிக்கு வையகமும் வானகமும் ஆற்றல் அரிது.,0.62181616,0.4638722,0.50072354,0.3965952,0.519454,0.44887474,0.48780695,0.4607359,0.5346445,0.46248487,care.virtue,0.62181616
102,காலத்தி னாற்செய்த நன்றி சிறிதெனினும் ஞாலத்தின் மாணப் பெரிது.,0.5884936,0.43577245,0.466556,0.35063055,0.4607288,0.3651115,0.49849412,0.38816494,0.57648754,0.4447376,care.virtue,0.5884936
103,பயன்தூக்கார் செய்த உதவி நயன்தூக்கின் நன்மை கடலின் பெரிது.,0.5404696,0.3003197,0.3517899,0.26736102,0.3253985,0.26046443,0.34856543,0.22029233,0.38785633,0.29943323,care.virtue,0.5404696
104,தினைத்துணை நன்றி செயினும் பனைத்துணையாக் கொள்வர் பயன்தெரி வார்.,0.61320466,0.4270149,0.45745486,0.36608604,0.49387684,0.35256323,0.51795197,0.33553424,0.57563376,0.4391401,care.virtue,0.61320466
105,உதவி வரைத்தன்று உதவி உதவி செயப்பட்டார் சால்பின் வரைத்து.,0.57660514,0.450604,0.46907258,0.43508956,0.46183556,0.4423457,0.488989,0.4217044,0.4914496,0.4816342,care.virtue,0.57660514
106,மறவற்க மாசற்றார் கேண்மை துறவற்க துன்பத்துள் துப்பாயார் நட்பு.,0.56025857,0.51441,0.46885765,0.5027572,0.55776006,0.5118779,0.5108441,0.47490814,0.56027484,0.5680604,sanctity.vice,0.5680604
107,எழுமை எழுபிறப்பும் உள்ளுவர் தங்கண் விழுமந் துடைத்தவர் நட்பு.,0.54531235,0.44718134,0.44131187,0.44932947,0.58060795,0.48300618,0.48730156,0.45230463,0.5086403,0.4953529,loyalty.virtue,0.58060795
