fable_number,title,text,moral,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral,dominant_score
12,THE PEACOCK AND THE CRANE,"A Peacock taunted a Crane with the dullness of her plumage. ""Look at my brilliant colours,"" said she, ""and see how much finer they are than your poor feathers."" ""I am not denying,"" replied the Crane, ""that yours are far gayer than mine; but when it comes to flying I can soar into the clouds, whereas you are confined to the earth like any dunghill cock.""",,0.35023972,0.30922136,0.34845093,0.3103219,0.31699848,0.26803562,0.3683679,0.26649407,0.4003693,0.39959696,sanctity.virtue,0.4003693
13,THE CAT AND THE BIRDS,"A Cat heard that the Birds in an aviary were ailing. So he got himself up as a doctor, and, taking with him a set of the instruments proper to his profession, presented himself at the door, and inquired after the health of the Birds. ""We shall do very well,"" they replied, without letting him in, ""when we've seen the last of you."" A villain may disguise himself, but he will not deceive the wise.",,0.36627012,0.31844652,0.32940733,0.30732945,0.34132668,0.30957702,0.36442998,0.28185043,0.38114637,0.34225494,sanctity.virtue,0.38114637
14,THE SPENDTHRIFT AND THE SWALLOW,"A Spendthrift, who had wasted his fortune, and had nothing left but the clothes in which he stood, saw a Swallow one fine day in early spring. Thinking that summer had come, and that he could now do without his coat, he went and sold it for what it would fetch. A change, however, took place in the weather, and there came a sharp frost which killed the unfortunate Swallow. When the Spendthrift saw its dead body he cried, ""Miserable bird! Thanks to you I am perishing of cold myself."" One swallow does not make summer.",,0.29393435,0.26804852,0.259972,0.27572373,0.25178957,0.29785556,0.27733123,0.2546628,0.331555,0.3850679,sanctity.vice,0.3850679
15,THE OLD WOMAN AND THE DOCTOR,"An Old Woman became almost totally blind from a disease of the eyes, and, after consulting a Doctor, made an agreement with him in the presence of witnesses that she should pay him a high fee if he cured her, while if he failed he was to receive nothing. The Doctor accordingly prescribed a course of treatment, and every time he paid her a visit he took away with him some article out of the house, until at last, when he visited her for the last time, and the cure was complete, there was nothing left. When the Old Woman saw that the house was empty she refused to pay him his fee; and, after repeated refusals on her part, he sued her before the magistrates for payment of her debt. On being brought into court she was ready with her defence. ""The claimant,"" said she, ""has stated the facts about our agreement correctly. I undertook to pay him a fee if he cured me, and he, on his part, promised to charge nothing if he failed. Now, he says I am cured; but I say that I am blinder than ever, and I can prove what I say. When my eyes were bad I could at any rate see well enough to be aware that my house contained a certain amount of furniture and other things; but now, when according to him I am cured, I am entirely unable to see anything there at all.""",,0.40248,0.2852882,0.39631692,0.23303917,0.31681854,0.2239057,0.35629162,0.22035006,0.3856912,0.28348243,care.virtue,0.40248
16,THE MOON AND HER MOTHER,"The Moon once begged her Mother to make her a gown. ""How can I?"" replied she; ""there's no fitting your figure. At one time you're a New Moon, and at another you're a Full Moon; and between whiles you're neither one nor the other.""",,0.24447143,0.18863016,0.23548524,0.23267269,0.19388211,0.206206,0.23162162,0.26005656,0.2979817,0.21777298,sanctity.virtue,0.2979817
17,MERCURY AND THE WOODMAN,"A Woodman was felling a tree on the bank of a river, when his axe, glancing off the trunk, flew out of his hands and fell into the water. As he stood by the water's edge lamenting his loss, Mercury appeared and asked him the reason for his grief; and on learning what had happened, out of pity for his distress he dived into the river and, bringing up a golden axe, asked him if that was the one he had lost. The Woodman replied that it was not, and Mercury then dived a second time, and, bringing up a silver axe, asked if that was his. ""No, that is not mine either,"" said the Woodman. Once more Mercury dived into the river, and brought up the missing axe. The Woodman was overjoyed at recovering his property, and thanked his benefactor warmly; and the latter was so pleased with his honesty that he made him a present of the other two axes. When the Woodman told the story to his companions, one of these was filled with envy of his good fortune and determined to try his luck for himself. So he went and began to fell a tree at the edge of the river, and presently contrived to let his axe drop into the water. Mercury appeared as before, and, on learning that his axe had fallen in, he dived and brought up a golden axe, as he had done on the previous occasion. Without waiting to be asked whether it was his or not the fellow cried, ""That's mine, that's mine,"" and stretched out his hand eagerly for the prize: but Mercury was so disgusted at his dishonesty that he not only declined to give him the golden axe, but also refused to recover for him the one he had let fall into the stream. Honesty is the best policy.",,0.40116137,0.244482,0.3581078,0.23430315,0.278929,0.2674067,0.3316349,0.2296183,0.37006846,0.25020298,care.virtue,0.40116137
18,"THE ASS, THE FOX, AND THE LION","An Ass and a Fox went into partnership and sallied out to forage for food together. They hadn't gone far before they saw a Lion coming their way, at which they were both dreadfully frightened. But the Fox thought he saw a way of saving his own skin, and went boldly up to the Lion and whispered in his ear, ""I'll manage that you shall get hold of the Ass without the trouble of stalking him, if you'll promise to let me go free."" The Lion agreed to this, and the Fox then rejoined his companion and contrived before long to lead him by a hidden pit, which some hunter had dug as a trap for wild animals, and into which he fell. When the Lion saw that the Ass was safely caught and couldn't get away, it was to the Fox that he first turned his attention, and he soon finished him off, and then at his leisure proceeded to feast upon the Ass","Betray a friend, and you'll often find you have ruined yourself.",0.38106298,0.2972865,0.32398593,0.3094463,0.40462115,0.32686532,0.35362655,0.25889543,0.31490847,0.31725466,loyalty.virtue,0.40462115
19,THE LION AND THE MOUSE,"A Lion asleep in his lair was waked up by a Mouse running over his face. Losing his temper he seized it with his paw and was about to kill it. The Mouse, terrified, piteously entreated him to spare its life. ""Please let me go,"" it cried, ""and one day I will repay you for your kindness."" The idea of so insignificant a creature ever being able to do anything for him amused the Lion so much that he laughed aloud, and good-humouredly let it go. But the Mouse's chance came, after all. One day the Lion got entangled in a net which had been spread for game by some hunters, and the Mouse heard and recognised his roars of anger and ran to the spot. Without more ado it set to work to gnaw the ropes with its teeth, and succeeded before long in setting the Lion free. ""There!"" said the Mouse, ""you laughed at me when I promised I would repay you: but now you see, even a Mouse can help a Lion.""",,0.40835285,0.35682932,0.3293278,0.3114136,0.33568004,0.33811545,0.36850446,0.30011046,0.38384002,0.35839033,care.virtue,0.40835285
20,THE CROW AND THE PITCHER,"A thirsty Crow found a Pitcher with some water in it, but so little was there that, try as she might, she could not reach it with her beak, and it seemed as though she would die of thirst within sight of the remedy. At last she hit upon a clever plan. She began dropping pebbles into the Pitcher, and with each pebble the water rose a little higher until at last it reached the brim, and the knowing bird was enabled to quench her thirst. Necessity is the mother of invention.",,0.3209026,0.2998294,0.2665733,0.2887424,0.2801254,0.2385319,0.33809036,0.26430407,0.35952255,0.385395,sanctity.vice,0.385395
21,THE BOYS AND THE FROGS,"Some mischievous Boys were playing on the edge of a pond, and, catching sight of some Frogs swimming about in the shallow water, they began to amuse themselves by pelting them with stones, and they killed several of them. At last one of the Frogs put his head out of the water and said, ""Oh, stop! stop! I beg of you: what is sport to you is death to us.""",,0.12122098,0.24779941,0.15151384,0.2515926,0.19951677,0.2388733,0.17241102,0.20951666,0.18106465,0.29042214,sanctity.vice,0.29042214
22,THE NORTH WIND AND THE SUN,"A dispute arose between the North Wind and the Sun, each claiming that he was stronger than the other. At last they agreed to try their powers upon a traveller, to see which could soonest strip him of his cloak. The North Wind had the first try; and, gathering up all his force for the attack, he came whirling furiously down upon the man, and caught up his cloak as though he would wrest it from him by one single effort: but the harder he blew, the more closely the man wrapped it round himself. Then came the turn of the Sun. At first he beamed gently upon the traveller, who soon unclasped his cloak and walked on with it hanging loosely about his shoulders: then he shone forth in his full strength, and the man, before he had gone many steps, was glad to throw his cloak right off and complete his journey more lightly clad",Persuasion is better than force,0.33701816,0.36187115,0.38287178,0.35786855,0.42964822,0.36648467,0.43656918,0.37591213,0.39400584,0.34262544,authority.virtue,0.43656918
23,THE MISTRESS AND HER SERVANTS,"A Widow, thrifty and industrious, had two servants, whom she kept pretty hard at work. They were not allowed to lie long abed in the mornings, but the old lady had them up and doing as soon as the cock crew. They disliked intensely having to get up at such an hour, especially in winter-time: and they thought that if it were not for the cock waking up their Mistress so horribly early, they could sleep longer. So they caught it and wrung its neck. But they weren't prepared for the consequences. For what happened was that their Mistress, not hearing the cock crow as usual, waked them up earlier than ever, and set them to work in the middle of the night.",,0.39619765,0.4546919,0.32102534,0.33881196,0.43864536,0.31333244,0.44785696,0.35719478,0.42626694,0.40974608,care.vice,0.4546919
24,THE GOODS AND THE ILLS,"There was a time in the youth of the world when Goods and Ills entered equally into the concerns of men, so that the Goods did not prevail to make them altogether blessed, nor the Ills to make them wholly miserable. But owing to the foolishness of mankind the Ills multiplied greatly in number and increased in strength, until it seemed as though they would deprive the Goods of all share in human affairs, and banish them from the earth. The latter, therefore, betook themselves to heaven and complained to Jupiter of the treatment they had received, at the same time praying him to grant them protection from the Ills, and to advise them concerning the manner of their intercourse with men. Jupiter granted their request for protection, and decreed that for the future they should not go among men openly in a body, and so be liable to attack from the hostile Ills, but singly and unobserved, and at infrequent and unexpected intervals. Hence it is that the earth is full of Ills, for they come and go as they please and are never far away; while Goods, alas! come one by one only, and have to travel all the way from heaven, so that they are very seldom seen.",,0.41334003,0.38354892,0.38751522,0.34034374,0.43138513,0.35500005,0.3832739,0.36661956,0.38721734,0.3546636,loyalty.virtue,0.43138513
25,THE HARES AND THE FROGS,"The Hares once gathered together and lamented the unhappiness of their lot, exposed as they were to dangers on all sides and lacking the strength and the courage to hold their own. Men, dogs, birds and beasts of prey were all their enemies, and killed and devoured them daily: and sooner than endure such persecution any longer, they one and all determined to end their miserable lives. Thus resolved and desperate, they rushed in a body towards a neighbouring pool, intending to drown themselves. On the bank were sitting a number of Frogs, who, when they heard the noise of the Hares as they ran, with one accord leaped into the water and hid themselves in the depths. Then one of the older Hares who was wiser than the rest cried out to his companions, ""Stop, my friends, take heart; don't let us destroy ourselves after all: see, here are creatures who are afraid of us, and who must, therefore, be still more timid than ourselves.""",,0.41533864,0.42590806,0.37056056,0.32288665,0.46559954,0.376578,0.40726864,0.34872562,0.37995195,0.36092627,loyalty.virtue,0.46559954
26,THE FOX AND THE STORK,"A Fox invited a Stork to dinner, at which the only fare provided was a large flat dish of soup. The Fox lapped it up with great relish, but the Stork with her long bill tried in vain to partake of the savoury broth. Her evident distress caused the sly Fox much amusement. But not long after the Stork invited him in turn, and set before him a pitcher with a long and narrow neck, into which she could get her bill with ease. Thus, while she enjoyed her dinner, the Fox sat by hungry and helpless, for it was impossible for him to reach the tempting contents of the vessel.",,0.2088312,0.20494072,0.19464037,0.257309,0.23164025,0.21776745,0.21725346,0.2034354,0.20853831,0.3024282,sanctity.vice,0.3024282
27,THE WOLF IN SHEEP'S CLOTHING,"A Wolf resolved to disguise himself in order that he might prey upon a flock of sheep without fear of detection. So he clothed himself in a sheepskin, and slipped among the sheep when they were out at pasture. He completely deceived the shepherd, and when the flock was penned for the night he was shut in with the rest. But that very night as it happened, the shepherd, requiring a supply of mutton for the table, laid hands on the Wolf in mistake for a Sheep, and killed him with his knife on the spot.",,0.2412856,0.33040637,0.23593111,0.3248603,0.30785418,0.32403746,0.29460666,0.23649089,0.25333947,0.32754472,care.vice,0.33040637
28,THE STAG IN THE OX-STALL,"A Stag, chased from his lair by the hounds, took refuge in a farmyard, and, entering a stable where a number of oxen were stalled, thrust himself under a pile of hay in a vacant stall, where he lay concealed, all but the tips of his horns. Presently one of the Oxen said to him, ""What has induced you to come in here? Aren't you aware of the risk you are running of being captured by the herdsmen?"" To which he replied, ""Pray let me stay for the present. When night comes I shall easily escape under cover of the dark."" In the course of the afternoon more than one of the farm-hands came in, to attend to the wants of the cattle, but not one of them noticed the presence of the Stag, who accordingly began to congratulate himself on his escape and to express his gratitude to the Oxen. ""We wish you well,"" said the one who had spoken before, ""but you are not out of danger yet. If the master comes, you will certainly be found out, for nothing ever escapes his keen eyes."" Presently, sure enough, in he came, and made a great to-do about the way the Oxen were kept. ""The beasts are starving,"" he cried; ""here, give them more hay, and put plenty of litter under them."" As he spoke, he seized an armful himself from the pile where the Stag lay concealed, and at once detected him. Calling his men, he had him seized at once and killed for the table.",,0.37651885,0.32279524,0.2978547,0.2895,0.34764296,0.32695267,0.37662718,0.25560525,0.35045248,0.3211817,authority.virtue,0.37662718
29,THE MILKMAID AND HER PAIL,"A farmer's daughter had been out to milk the cows, and was returning to the dairy carrying her pail of milk upon her head. As she walked along, she fell a-musing after this fashion: ""The milk in this pail will provide me with cream, which I will make into butter and take to market to sell. With the money I will buy a number of eggs, and these, when hatched, will produce chickens, and by and by I shall have quite a large poultry-yard. Then I shall sell some of my fowls, and with the money which they will bring in I will buy myself a new gown, which I shall wear when I go to the fair; and all the young fellows will admire it, and come and make love to me, but I shall toss my head and have nothing to say to them."" Forgetting all about the pail, and suiting the action to the word, she tossed her head. Down went the pail, all the milk was spilled, and all her fine castles in the air vanished in a moment! Do not count your chickens before they are hatched.",,0.18341511,0.07632202,0.092145555,0.08876025,0.11321146,0.09696118,0.16036819,0.05693972,0.18699218,0.15075701,sanctity.virtue,0.18699218
30,"THE DOLPHINS, THE WHALES, AND THE SPRAT","The Dolphins quarrelled with the Whales, and before very long they began fighting with one another. The battle was very fierce, and had lasted some time without any sign of coming to an end, when a Sprat thought that perhaps he could stop it; so he stepped in and tried to persuade them to give up fighting and make friends. But one of the Dolphins said to him contemptuously, ""We would rather go on fighting till we're all killed than be reconciled by a Sprat like you!""",,0.24337853,0.30441806,0.32464394,0.2759533,0.35160488,0.33165228,0.26896223,0.37017912,0.2719873,0.28715917,authority.vice,0.37017912
31,THE FOX AND THE MONKEY,"A Fox and a Monkey were on the road together, and fell into a dispute as to which of the two was the better born. They kept it up for some time, till they came to a place where the road passed through a cemetery full of monuments, when the Monkey stopped and looked about him and gave a great sigh. ""Why do you sigh?"" said the Fox. The Monkey pointed to the tombs and replied, ""All the monuments that you see here were put up in honour of my forefathers, who in their day were eminent men."" The Fox was speechless for a moment, but quickly recovering he said, ""Oh! don't stop at any lie, sir; you're quite safe: I'm sure none of your ancestors will rise up and expose you."" Boasters brag most when they cannot be detected.",,0.3273649,0.2923965,0.35816467,0.29596415,0.3429508,0.30853698,0.3400338,0.29601553,0.36475566,0.32640484,sanctity.virtue,0.36475566
32,THE ASS AND THE LAP-DOG,"There was once a man who had an Ass and a Lap-dog. The Ass was housed in the stable with plenty of oats and hay to eat and was as well off as an ass could be. The little Dog was made a great pet of by his master, who fondled him and often let him lie in his lap; and if he went out to dinner, he would bring back a tit-bit or two to give him when he ran to meet him on his return. The Ass had, it is true, a good deal of work to do, carting or grinding the corn, or carrying the burdens of the farm: and ere long he became very jealous, contrasting his own life of labour with the ease and idleness of the Lap-dog. At last one day he broke his halter, and frisking into the house just as his master sat down to dinner, he pranced and capered about, mimicking the frolics of the little favourite, upsetting the table and smashing the crockery with his clumsy efforts. Not content with that, he even tried to jump on his master's lap, as he had so often seen the dog allowed to do. At that the servants, seeing the danger their master was in, belaboured the silly Ass with sticks and cudgels, and drove him back to his stable half dead with his beating. ""Alas!"" he cried, ""all this I have brought on myself. Why could I not be satisfied with my natural and honourable position, without wishing to imitate the ridiculous antics of that useless little Lap-dog?""",,0.22044943,0.2286771,0.18702264,0.26219168,0.23497483,0.2545584,0.27712852,0.24180879,0.2212168,0.28682587,sanctity.vice,0.28682587
33,THE FIR-TREE AND THE BRAMBLE,"A Fir-tree was boasting to a Bramble, and said, somewhat contemptuously, ""You poor creature, you are of no use whatever. Now, look at me: I am useful for all sorts of things, particularly when men build houses; they can't do without me then."" But the Bramble replied, ""Ah, that's all very well: but you wait till they come with axes and saws to cut you down, and then you'll wish you were a Bramble and not a Fir."" Better poverty without a care than wealth with its many obligations.",,0.38037187,0.33137846,0.35355732,0.35355762,0.3239425,0.31891316,0.3424129,0.33136252,0.37844297,0.3809953,sanctity.vice,0.3809953
34,THE FROGS' COMPLAINT AGAINST THE SUN,"Once upon a time the Sun was about to take to himself a wife. The Frogs in terror all raised their voices to the skies, and Jupiter, disturbed by the noise, asked them what they were croaking about. They replied, ""The Sun is bad enough even while he is single, drying up our marshes with his heat as he does. But what will become of us if he marries and begets other Suns?""",,0.35669008,0.3466086,0.3485631,0.33817914,0.37918654,0.34383342,0.3792145,0.35401773,0.41108367,0.34673917,sanctity.virtue,0.41108367
35,"THE DOG, THE COCK, AND THE FOX","A Dog and a Cock became great friends, and agreed to travel together. At nightfall the Cock flew up into the branches of a tree to roost, while the Dog curled himself up inside the trunk, which was hollow. At break of day the Cock woke up and crew, as usual. A Fox heard, and, wishing to make a breakfast of him, came and stood under the tree and begged him to come down. ""I should so like,"" said he, ""to make the acquaintance of one who has such a beautiful voice."" The Cock replied, ""Would you just wake my porter who sleeps at the foot of the tree? He'll open the door and let you in."" The Fox accordingly rapped on the trunk, when out rushed the Dog and tore him in pieces.",,0.3220057,0.26375234,0.26923847,0.3033626,0.37595528,0.29183117,0.3492502,0.25948098,0.34027162,0.32132688,loyalty.virtue,0.37595528
36,THE GNAT AND THE BULL,"A Gnat alighted on one of the horns of a Bull, and remained sitting there for a considerable time. When it had rested sufficiently and was about to fly away, it said to the Bull, ""Do you mind if I go now?"" The Bull merely raised his eyes and remarked, without interest, ""It's all one to me; I didn't notice when you came, and I shan't know when you go away."" We may often be of more consequence in our own eyes than in the eyes of our neighbours.",,0.37208274,0.38158512,0.35759553,0.37060472,0.43340185,0.36807212,0.4097256,0.3572152,0.37979734,0.38083324,loyalty.virtue,0.43340185
37,THE BEAR AND THE TRAVELLERS,"Two Travellers were on the road together, when a Bear suddenly appeared on the scene. Before he observed them, one made for a tree at the side of the road, and climbed up into the branches and hid there. The other was not so nimble as his companion; and, as he could not escape, he threw himself on the ground and pretended to be dead. The Bear came up and sniffed all round him, but he kept perfectly still and held his breath: for they say that a bear will not touch a dead body. The Bear took him for a corpse, and went away. When the coast was clear, the Traveller in the tree came down, and asked the other what it was the Bear had whispered to him when he put his mouth to his ear. The other replied, ""He told me never again to travel with a friend who deserts you at the first sign of danger."" Misfortune tests the sincerity of friendship.",,0.4224835,0.36570355,0.41173288,0.33558542,0.41917026,0.40316698,0.41095623,0.35106546,0.41121095,0.35290372,care.virtue,0.4224835
38,THE SLAVE AND THE LION,"A Slave ran away from his master, by whom he had been most cruelly treated, and, in order to avoid capture, betook himself into the desert. As he wandered about in search of food and shelter, he came to a cave, which he entered and found to be unoccupied. Really, however, it was a Lion's den, and almost immediately, to the horror of the wretched fugitive, the Lion himself appeared. The man gave himself up for lost: but, to his utter astonishment, the Lion, instead of springing upon him and devouring him, came and fawned upon him, at the same time whining and lifting up his paw. Observing it to be much swollen and inflamed, he examined it and found a large thorn embedded in the ball of the foot. He accordingly removed it and dressed the wound as well as he could: and in course of time it healed up completely. The Lion's gratitude was unbounded; he looked upon the man as his friend, and they shared the cave for some time together. A day came, however, when the Slave began to long for the society of his fellow-men, and he bade farewell to the Lion and returned to the town. Here he was presently recognised and carried off in chains to his former master, who resolved to make an example of him, and ordered that he should be thrown to the beasts at the next public spectacle in the theatre. On the fatal day the beasts were loosed into the arena, and among the rest a Lion of huge bulk and ferocious aspect; and then the wretched Slave was cast in among them. What was the amazement of the spectators, when the Lion after one glance bounded up to him and lay down at his feet with every expression of affection and delight! It was his old friend of the cave! The audience clamoured that the Slave's life should be spared: and the governor of the town, marvelling at such gratitude and fidelity in a beast, decreed that both should receive their liberty.",,0.35169044,0.24448271,0.25205103,0.2219745,0.28975594,0.2992416,0.30546728,0.22367714,0.28683493,0.26292545,care.virtue,0.35169044
39,THE FLEA AND THE MAN,"A Flea bit a Man, and bit him again, and again, till he could stand it no longer, but made a thorough search for it, and at last succeeded in catching it. Holding it between his finger and thumb, he said—or rather shouted, so angry was he—""Who are you, pray, you wretched little creature, that you make so free with my person?"" The Flea, terrified, whimpered in a weak little voice, ""Oh, sir! pray let me go; don't kill me! I am such a little thing that I can't do you much harm."" But the Man laughed and said, ""I am going to kill you now, at once: whatever is bad has got to be destroyed, no matter how slight the harm it does."" Do not waste your pity on a scamp.",,0.40493354,0.42437726,0.36268878,0.34789583,0.33660144,0.3647878,0.36045867,0.34031644,0.38222796,0.3703082,care.vice,0.42437726
40,THE BEE AND JUPITER,"A Queen Bee from Hymettus flew up to Olympus with some fresh honey from the hive as a present to Jupiter, who was so pleased with the gift that he promised to give her anything she liked to ask for. She said she would be very grateful if he would give stings to the bees, to kill people who robbed them of their honey. Jupiter was greatly displeased with this request, for he loved mankind: but he had given his word, so he said that stings they should have. The stings he gave them, however, were of such a kind that whenever a bee stings a man the sting is left in the wound and the bee dies. Evil wishes, like fowls, come home to roost.",,0.4082425,0.20173146,0.2499824,0.15858687,0.21531284,0.20272173,0.28553605,0.12914461,0.31934482,0.21850345,care.virtue,0.4082425
41,THE OAK AND THE REEDS,"An Oak that grew on the bank of a river was uprooted by a severe gale of wind, and thrown across the stream. It fell among some Reeds growing by the water, and said to them, ""How is it that you, who are so frail and slender, have managed to weather the storm, whereas I, with all my strength, have been torn up by the roots and hurled into the river?"" ""You were stubborn,"" came the reply, ""and fought against the storm, which proved stronger than you: but we bow and yield to every breeze, and thus the gale passed harmlessly over our heads.""",,0.35263398,0.30705002,0.35381252,0.29387486,0.3555167,0.29619476,0.38953483,0.33920008,0.38466084,0.32457566,authority.virtue,0.38953483
